"Antal COVID‐19‐tilfælde og testede per kommune,",
opgjort den 30. april 2020 kl. 08.00,
"",Kumulativ incidens
Antal COVID‐19‐,(per 100.000
Kommune (id) Kommune (navn) Antal testede tilfælde  Befolkning,indbyggere)
101 København24.756 1.825 623.404,293
147 Frederiksberg4.071 332 103.960,319
155 Dragør 474 2 8 14.270,196
185 Tårnby 1.547 8 2 42.984,191
165 Albertslund1.184 120 27.877,430
151 Ballerup2.159 150 48.458,310
153 Brøndby 1.352 125 35.397,353
157 Gentofte 2.793 209 75.176,278
159 Gladsaxe2.806 210 69.681,301
161 Glostrup1.094 118 22.615,522
163 Herlev 1.269 9 3 28.786,323
167 Hvidovre 2.388 234 53.416,438
169 Høje‐Taastrup 1.687 135 50.686,266
183 Ishøj 833 9 9 22.946,431
173 Lyngby‐Taarbæk 2.117 126 55.790,226
175 Rødovre 1.600 119 40.052,297
187 Vallensbæk675 8 3 16.654,498
201 Allerød853 2 5 25.646,97
240 Egedal 1.793 181 43.335,418
210 Fredensborg1.482 5 3 40.819,130
250 Frederikssund1.668 8 0 45.332,176
190 Furesø1.606 6 1 41.069,149
270 Gribskov 1.543 6 4 41.195,155
260 Halsnæs 1.080 3 4 31.271,109
217 Helsingør2.693 117 62.567,187
219 Hillerød 2.175 9 0 50.998,176
223 Hørsholm 919 5 4 25.007,216
230 Rudersdal2.056 127 56.509,225
400 Bornholm 1.547 6 6 39.572,167
411 Christiansø3 <10 tilfælde 90,<10 tilfælde
253 Greve 1.225 8 1 50.267,161
259 Køge 1.568 109 60.675,180
350 Lejre 741 4 2 27.775,151
265 Roskilde 2.427 140 87.577,160
269 Solrød 565 4 1 23.065,178
320 Faxe 991 4 9 36.513,134
376 Guldborgsund1.785 6 5 60.930,107
316 Holbæk 2.199 128 71.297,180
326 Kalundborg1.182 5 8 48.681,119
360 Lolland 1.222 7 5 41.615,180
370 Næstved4.194 126 82.991,152
306 Odsherred881 4 3 33.122,130
329 Ringsted849 3 2 34.725,92
330 Slagelse2.915 287 79.073,363
340 Sorø 880 5 1 29.834,171
336 Stevns540 2 3 22.782,101
390,Vordingborg,1.327,4 4,45.816,96
420,Assens,1.230,1 9,41.212,46
430,Faaborg‐Midtfyn,1.558,3 1,51.809,60
440,Kerteminde,754,1 3,23.773,55
482,Langeland,384,<10 tilfælde,12.560,<10 tilfælde
410,Middelfart,1.273,4 1,38.553,106
480,Nordfyns,949,1 4,29.693,47
450,Nyborg,1.022,3 3,32.042,103
461,Odense,7.540,162,204.182,79
479,Svendborg,2.244,8 2,58.599,140
492,Ærø,166,<10 tilfælde,6.058,<10 tilfælde
530,Billund,618,2 1,26.629,79
561,Esbjerg,3.562,116,115.652,100
563,Fanø,76,<10 tilfælde,3.404,<10 tilfælde
607,Fredericia,1.543,3 8,51.427,74
510,Haderslev,1.249,<10 tilfælde,55.857,<10 tilfælde
621,Kolding,2.886,102,92.893,110
540,Sønderborg,1.824,1 5,74.561,20
550,Tønder,761,1 3,37.587,35
573,Varde,1.231,1 8,50.129,36
575,Vejen,1.068,2 2,42.863,51
630,Vejle,3.219,7 2,114.830,63
580,Aabenraa,1.779,4 3,59.035,73
710,Favrskov,1.200,2 4,48.374,50
766,Hedensted,1.074,1 3,46.747,28
615,Horsens,2.294,3 7,90.370,41
707,Norddjurs,822,<10 tilfælde,37.680,<10 tilfælde
727,Odder,560,<10 tilfælde,22.675,<10 tilfælde
730,Randers,2.406,2 8,97.909,29
741,Samsø,70,<10 tilfælde,3.684,<10 tilfælde
740,Silkeborg,2.770,114,93.054,123
746,Skanderborg,1.753,5 2,61.974,84
706,Syddjurs,1.076,1 3,42.768,30
751,Aarhus,10.483,327,345.332,95
657,Herning,2.981,247,88.917,278
661,Holstebro,2.457,246,58.504,420
756,Ikast‐Brande,1.119,5 1,41.282,124
665,Lemvig,435,2 3,19.998,115
760,Ringkøbing‐Skjern,1.283,6 9,56.930,121
779,Skive,1.153,4 7,46.224,102
671,Struer,607,3 1,21.143,147
791,Viborg,3.089,8 8,97.113,91
810,Brønderslev,1.509,4 0,36.370,110
813,Frederikshavn,1.450,1 5,59.987,25
860,Hjørring,2.218,2 3,64.665,36
849,Jammerbugt,1.262,2 2,38.460,57
825,Læsø,41,<10 tilfælde,1.806,<10 tilfælde
846,Mariagerfjord,1.370,3 1,42.055,74
773,Morsø,725,1 7,20.403,83
840,Rebild,999,1 3,29.916,43
787,Thisted,1.357,3 2,43.660,73
820,Vesthimmerlands,1.232,4 6,37.121,124
851,Aalborg,8.113,141,215.312,65
